ndc,order_id,vendor_name,order_date,received_date,quantity_ordered,quantity_received,program_flag
30481-2534-87,OR000617,"Garcia, Murphy and Hill",2025-05-25,2025-05-02,110,331,WAC
99604-9677-37,OR000618,Williams Group,2025-05-13,2025-05-05,418,382,GPO
52535-2692-60,OR000619,Newman Ltd,2025-05-02,2025-05-21,116,146,WAC
70087-9641-30,OR000620,Hawkins LLC,2025-05-22,2025-05-09,468,213,WAC
97577-3243-81,OR000621,"Lucas, Jackson and Davis",2025-05-28,2025-05-17,144,118,340B
33186-6346-96,OR000622,Hardy Group,2025-05-28,2025-05-11,146,81,GPO
13258-1543-89,OR000623,Stevens-Lindsey,2025-05-27,2025-05-07,103,120,340B
40941-1767-28,OR000624,"Adams, Thompson and Williams",2025-05-08,2025-05-06,103,415,WAC
66693-8497-83,OR000625,Stevenson-Castaneda,2025-05-25,2025-05-27,234,452,GPO
76631-9059-56,OR000626,Mccarthy Group,2025-05-24,2025-05-07,178,152,WAC
13258-1543-89,OR000627,"Smith, Edwards and Jefferson",2025-05-12,2025-05-01,238,252,340B
97637-3166-19,OR000628,"Reyes, Dominguez and Lopez",2025-05-24,2025-05-16,344,391,GPO
78572-5008-66,OR000629,"Pitts, Williams and Zavala",2025-05-11,2025-05-21,342,112,340B
54289-7762-61,OR000630,Reynolds LLC,2025-05-16,2025-05-26,227,330,WAC
59050-5275-94,OR000631,Brady-Alvarado,2025-05-15,2025-05-20,226,194,WAC
48635-6023-14,OR000632,Martin-Davis,2025-05-07,2025-05-27,292,296,WAC
63842-6371-48,OR000633,Wilson Inc,2025-05-14,2025-05-03,240,313,GPO
96978-3976-40,OR000634,Carter-Francis,2025-05-11,2025-05-18,191,247,WAC
43176-3980-85,OR000635,"Cruz, Vaughn and Lopez",2025-05-24,2025-05-23,220,127,GPO
68410-3439-86,OR000636,"Whitaker, May and Brown",2025-05-14,2025-05-21,128,410,WAC
98668-3370-33,OR000637,"Foster, Rivera and Harper",2025-05-28,2025-05-05,112,422,WAC
35528-3716-57,OR000638,Gillespie Inc,2025-05-16,2025-05-01,421,461,WAC
63024-5519-52,OR000639,Rojas LLC,2025-05-09,2025-05-11,194,137,340B
65193-7597-63,OR000640,Bennett-Sullivan,2025-05-22,2025-05-07,106,190,340B
40654-9824-80,OR000641,Carpenter Ltd,2025-05-16,2025-05-18,105,220,340B
23713-4516-97,OR000642,Lewis PLC,2025-05-24,2025-05-12,333,489,340B
99604-9677-37,OR000643,Sparks PLC,2025-05-19,2025-05-23,447,273,340B
55336-7003-35,OR000644,Peterson LLC,2025-05-25,2025-05-09,100,412,340B
57691-7518-37,OR000645,Brooks and Sons,2025-05-15,2025-05-27,305,270,GPO
91721-8491-39,OR000646,"Davis, Lewis and Smith",2025-05-05,2025-05-11,274,356,WAC
99082-7092-28,OR000647,Smith-Rice,2025-05-18,2025-05-02,159,246,WAC
67671-2432-86,OR000648,"Wagner, Johnston and Erickson",2025-05-04,2025-05-08,136,435,GPO
65193-7597-63,OR000649,Anderson LLC,2025-05-04,2025-05-07,298,271,340B
15670-1230-15,OR000650,Edwards-Mcclure,2025-05-09,2025-05-23,349,468,340B
51315-2610-79,OR000651,Pitts and Sons,2025-05-15,2025-05-13,310,128,340B
70330-2704-36,OR000652,Cook-Nelson,2025-05-23,2025-05-19,183,100,GPO
93422-3249-31,OR000653,"Moody, Parsons and Cruz",2025-05-13,2025-05-25,327,493,WAC
12846-1701-99,OR000654,"Neal, Gonzales and Moore",2025-05-23,2025-05-14,144,214,WAC
36709-2829-99,OR000655,Martin-Smith,2025-05-22,2025-05-07,120,198,340B
68279-3029-90,OR000656,Thomas-Lopez,2025-05-17,2025-05-22,345,189,340B
44663-1463-23,OR000657,"Perez, Edwards and Blake",2025-05-16,2025-05-17,485,301,340B
34334-3755-44,OR000658,Matthews Group,2025-05-24,2025-05-05,133,367,340B
67743-8662-33,OR000659,Roberson Group,2025-05-11,2025-05-10,146,434,GPO
22734-9475-51,OR000660,Ramos-Davis,2025-05-08,2025-05-11,406,297,WAC
65255-9526-23,OR000661,"Todd, Sloan and Rivera",2025-05-18,2025-05-11,431,494,GPO
37768-7595-55,OR000662,Orozco-Gomez,2025-05-20,2025-05-03,381,378,GPO
69335-6896-57,OR000663,"Smith, Young and Williams",2025-05-16,2025-05-14,155,360,WAC
86533-6291-42,OR000664,Small Ltd,2025-05-11,2025-05-20,221,157,340B
50231-2676-63,OR000665,Morgan Inc,2025-05-03,2025-05-19,184,168,340B
72096-7113-47,OR000666,Davis-Holland,2025-05-15,2025-05-07,491,219,340B
85015-7082-87,OR000667,Hernandez-Fuentes,2025-05-15,2025-05-20,260,260,GPO
47652-4226-51,OR000668,Moore-Barnett,2025-05-08,2025-05-21,328,297,340B
47726-9022-34,OR000669,Pineda Group,2025-05-28,2025-05-19,456,363,340B
48460-9254-16,OR000670,Manning Ltd,2025-05-28,2025-05-06,435,480,WAC
70330-2704-36,OR000671,"Farmer, Frank and Watts",2025-05-23,2025-05-03,195,205,340B
82998-9790-75,OR000672,"Roth, Boyd and Lowe",2025-05-16,2025-05-05,156,445,340B
65255-9526-23,OR000673,Huffman-Baker,2025-05-16,2025-05-22,228,348,GPO
38256-8901-57,OR000674,Smith-Whitehead,2025-05-04,2025-05-20,496,406,340B
86723-1298-92,OR000675,Bates Ltd,2025-05-09,2025-05-16,427,131,GPO
41324-7548-19,OR000676,Massey Group,2025-05-17,2025-05-18,481,444,WAC
32663-6889-19,OR000677,"Lynch, Oconnor and Smith",2025-05-20,2025-05-15,490,343,340B
46802-8333-96,OR000678,Pena and Sons,2025-05-24,2025-05-21,106,148,340B
83719-1303-14,OR000679,Kaiser Ltd,2025-05-03,2025-05-06,442,315,GPO
73481-4958-85,OR000680,"Martin, Poole and Reeves",2025-05-22,2025-05-22,470,287,340B
48784-6895-79,OR000681,Nicholson-Molina,2025-05-15,2025-05-05,346,419,340B
63752-8405-88,OR000682,Weiss-Carter,2025-05-12,2025-05-04,220,226,340B
68100-9474-14,OR000683,Gray PLC,2025-05-24,2025-05-01,190,96,340B
32960-5630-32,OR000684,"Pope, Johnson and Lee",2025-05-19,2025-05-03,369,116,WAC
25883-5152-27,OR000685,Smith Group,2025-05-16,2025-05-20,256,230,WAC
70525-5966-16,OR000686,"Thompson, Griffin and Hall",2025-05-05,2025-05-02,494,250,WAC
51315-2610-79,OR000687,"Rollins, Smith and Parker",2025-05-24,2025-05-19,229,279,340B
66693-8497-83,OR000688,Hernandez and Sons,2025-05-14,2025-05-22,171,202,WAC
88131-6543-45,OR000689,Floyd and Sons,2025-05-23,2025-05-11,448,417,WAC
51315-2610-79,OR000690,Wells PLC,2025-05-15,2025-05-24,313,317,WAC
38846-7713-11,OR000691,"Smith, Duran and Herman",2025-05-08,2025-05-22,101,300,340B
90405-1663-24,OR000692,"Green, Williams and Coleman",2025-05-10,2025-05-25,471,248,340B
18831-5251-58,OR000693,Banks-Armstrong,2025-05-05,2025-05-24,491,227,GPO
56813-9159-65,OR000694,Thomas LLC,2025-05-25,2025-05-25,442,394,GPO
41657-1497-80,OR000695,"Moore, Bullock and Bass",2025-05-20,2025-05-26,487,403,GPO
59997-6478-98,OR000696,Keller and Sons,2025-05-07,2025-05-20,428,268,340B
34024-9766-49,OR000697,Martinez-Scott,2025-05-11,2025-05-14,353,363,WAC
58041-2793-40,OR000698,Williams PLC,2025-05-02,2025-05-28,310,118,WAC
45006-6999-14,OR000699,Turner-Walls,2025-05-23,2025-05-03,208,378,340B
10096-4934-33,OR000700,"Wagner, Cummings and Bolton",2025-05-18,2025-05-10,126,150,340B
44663-1463-23,OR000701,Arnold-Lindsey,2025-05-04,2025-05-09,473,442,340B
56525-1716-68,OR000702,"Fleming, Townsend and Smith",2025-05-27,2025-05-07,169,287,WAC
23713-4516-97,OR000703,Austin Ltd,2025-05-16,2025-05-01,464,100,340B
26314-6281-52,OR000704,Harper-Walker,2025-05-21,2025-05-07,288,246,GPO
57775-1611-89,OR000705,"Adams, Goodman and Williams",2025-05-07,2025-05-28,131,480,340B
10783-5396-38,OR000706,Powers PLC,2025-05-06,2025-05-14,241,324,GPO
22734-9475-51,OR000707,"Baker, Hutchinson and Bennett",2025-05-13,2025-05-08,306,90,340B
34363-8976-15,OR000708,Yang-Olson,2025-05-19,2025-05-26,274,80,GPO
23280-2244-40,OR000709,Reed-Jensen,2025-05-21,2025-05-13,272,262,GPO
37768-7595-55,OR000710,Harrison-Mitchell,2025-05-04,2025-05-19,169,193,WAC
90119-4863-39,OR000711,"Haynes, Edwards and Wade",2025-05-21,2025-05-19,343,432,GPO
31085-8218-84,OR000712,"Wallace, Greene and Haynes",2025-05-19,2025-05-08,149,401,WAC
78103-1224-15,OR000713,Porter-Collins,2025-05-27,2025-05-07,470,184,GPO
23579-5051-45,OR000714,"Jones, Vargas and Lewis",2025-05-12,2025-05-02,322,197,WAC
97875-8849-17,OR000715,Dunlap-Beltran,2025-05-15,2025-05-14,292,475,WAC
83993-2627-64,OR000716,Hamilton and Sons,2025-05-04,2025-05-18,125,340,WAC
18520-9105-96,OR000717,"Wilson, Simpson and Green",2025-05-18,2025-05-05,326,116,GPO
29314-7189-12,OR000718,"Holloway, Sherman and Lin",2025-05-02,2025-05-25,197,326,340B
89460-7841-12,OR000719,Cox Inc,2025-05-22,2025-05-04,351,347,340B
20039-1148-59,OR000720,Pruitt-Griffin,2025-05-01,2025-05-02,364,220,WAC
23780-9977-86,OR000721,"Valdez, Murray and Curry",2025-05-11,2025-05-12,308,186,340B
87754-3835-16,OR000722,Thomas-Olsen,2025-05-17,2025-05-06,420,455,GPO
88047-8782-37,OR000723,Cruz and Sons,2025-05-07,2025-05-17,187,347,WAC
86723-1298-92,OR000724,"Hunt, Gonzalez and Garcia",2025-05-12,2025-05-24,299,229,WAC
26627-3578-61,OR000725,Ferguson Ltd,2025-05-22,2025-05-12,257,290,GPO
65759-3667-72,OR000726,Hall Group,2025-05-17,2025-05-06,427,109,GPO
31394-7867-97,OR000727,Long and Sons,2025-05-04,2025-05-13,124,390,340B
61316-4770-72,OR000728,Hunt LLC,2025-05-02,2025-05-14,308,478,WAC
31100-4368-95,OR000729,"Hayes, Huerta and Huerta",2025-05-11,2025-05-25,341,406,WAC
36688-3617-30,OR000730,"Olson, Willis and Alexander",2025-05-12,2025-05-20,376,229,340B
81708-5193-65,OR000731,Henderson Ltd,2025-05-06,2025-05-27,272,294,340B
50159-2276-84,OR000732,"Thompson, Davis and Clark",2025-05-12,2025-05-21,165,298,340B
73361-2792-22,OR000733,Moore Ltd,2025-05-25,2025-05-01,274,262,340B
86533-6291-42,OR000734,Garcia Group,2025-05-14,2025-05-25,383,82,WAC
90405-1663-24,OR000735,"Young, Trujillo and Spencer",2025-05-14,2025-05-02,124,339,GPO
39385-7723-49,OR000736,Hensley and Sons,2025-05-09,2025-05-19,382,408,WAC
73818-1989-61,OR000737,Wong-Pittman,2025-05-19,2025-05-13,197,135,340B
32967-6541-89,OR000738,"Reed, Davis and Nielsen",2025-05-23,2025-05-01,210,238,WAC
80345-6736-20,OR000739,Larson PLC,2025-05-18,2025-05-25,115,361,340B
38664-3629-19,OR000740,Wallace-Higgins,2025-05-13,2025-05-12,370,240,WAC
21680-8960-18,OR000741,Brooks LLC,2025-05-25,2025-05-10,103,421,WAC
67671-2432-86,OR000742,"Doyle, Wells and Mcdonald",2025-05-07,2025-05-03,370,108,WAC
57513-6035-43,OR000743,"Bradford, Wolf and Montgomery",2025-05-28,2025-05-21,243,218,340B
37768-7595-55,OR000744,Adkins-Perry,2025-05-13,2025-05-25,296,104,340B
32989-1329-16,OR000745,Rodriguez Ltd,2025-05-07,2025-05-07,305,135,GPO
63752-8405-88,OR000746,Green PLC,2025-05-01,2025-05-13,393,256,GPO
45206-4286-61,OR000747,Valencia Ltd,2025-05-24,2025-05-06,245,107,340B
13345-9669-25,OR000748,"Green, Barber and Martin",2025-05-24,2025-05-26,421,179,GPO
83710-2812-95,OR000749,"Martinez, Campbell and Davis",2025-05-08,2025-05-28,393,464,GPO
56950-1684-99,OR000750,Thompson PLC,2025-05-28,2025-05-16,437,167,340B
87923-2829-53,OR000751,Burns-Hull,2025-05-25,2025-05-11,392,151,GPO
36473-9049-88,OR000752,Allison LLC,2025-05-10,2025-05-26,406,446,WAC
70333-5851-42,OR000753,"Jones, Hunter and Singh",2025-05-03,2025-05-21,191,200,WAC
60885-8402-20,OR000754,Tucker-Erickson,2025-05-15,2025-05-09,176,399,WAC
75250-3796-11,OR000755,Bowers-Mccarthy,2025-05-02,2025-05-26,237,95,WAC
69478-4639-84,OR000756,Lee PLC,2025-05-09,2025-05-18,280,497,WAC
33946-1880-84,OR000757,Brooks LLC,2025-05-13,2025-05-27,448,247,340B
83479-5126-40,OR000758,Williamson-Ramirez,2025-05-19,2025-05-08,463,280,GPO
93612-4597-72,OR000759,Martinez-Bauer,2025-05-20,2025-05-11,157,326,WAC
48635-6023-14,OR000760,Christian-Jennings,2025-05-03,2025-05-27,154,190,WAC
33518-3568-24,OR000761,Little Inc,2025-05-26,2025-05-14,144,98,GPO
35593-1337-89,OR000762,"Wilson, Buchanan and Sullivan",2025-05-05,2025-05-25,170,249,WAC
99082-7092-28,OR000763,"Sharp, Chavez and Sanchez",2025-05-18,2025-05-15,262,483,WAC
98770-4276-66,OR000764,Ward-Mccullough,2025-05-01,2025-05-05,221,147,WAC
29702-9239-34,OR000765,Macdonald-Anderson,2025-05-07,2025-05-21,417,446,GPO
28188-2282-53,OR000766,Andersen-Gray,2025-05-21,2025-05-14,135,349,340B
43387-9862-13,OR000767,Wagner Group,2025-05-21,2025-05-01,234,330,340B
32505-8392-42,OR000768,"Watson, Jones and Roberts",2025-05-23,2025-05-03,169,274,340B
34245-7886-71,OR000769,"Ryan, Williams and Mueller",2025-05-13,2025-05-22,132,314,WAC
66953-7909-85,OR000770,Holmes Group,2025-05-19,2025-05-20,383,361,340B
46802-8333-96,OR000771,Conner-Glenn,2025-05-09,2025-05-14,229,375,GPO
96764-7183-59,OR000772,Long-Kennedy,2025-05-06,2025-05-02,267,150,WAC
16541-9626-36,OR000773,"Lewis, Figueroa and Alexander",2025-05-12,2025-05-13,357,339,WAC
53379-6004-98,OR000774,"Rodriguez, Morgan and Rosales",2025-05-13,2025-05-02,134,257,340B
73988-7647-45,OR000775,Clark Ltd,2025-05-12,2025-05-22,200,82,WAC
33125-9779-38,OR000776,Perez-Andrade,2025-05-21,2025-05-05,438,151,340B
65193-7597-63,OR000777,"Mckay, Shepherd and West",2025-05-02,2025-05-04,418,462,WAC
56950-1684-99,OR000778,Greene-Johnson,2025-05-06,2025-05-15,111,484,WAC
31394-7867-97,OR000779,Mclaughlin and Sons,2025-05-20,2025-05-10,209,446,WAC
18831-5251-58,OR000780,"Hutchinson, Hughes and Tucker",2025-05-05,2025-05-09,138,460,340B
92785-5205-44,OR000781,"Jefferson, Wood and Payne",2025-05-18,2025-05-16,402,91,GPO
80345-6736-20,OR000782,Wright-Matthews,2025-05-27,2025-05-22,307,334,WAC
31230-2949-74,OR000783,"Henson, Alvarez and Perry",2025-05-12,2025-05-12,101,136,340B
23579-5051-45,OR000784,"Meyer, Bell and Bennett",2025-05-18,2025-05-08,106,344,340B
23579-5051-45,OR000785,Paul Group,2025-05-15,2025-05-03,247,264,WAC
12034-5397-25,OR000786,"Lewis, Hernandez and Schmidt",2025-05-19,2025-05-14,204,141,WAC
53828-8546-76,OR000787,Garcia-Garner,2025-05-14,2025-05-27,129,216,GPO
97981-9753-58,OR000788,"Snyder, Olson and Fernandez",2025-05-15,2025-05-19,466,368,WAC
69478-4639-84,OR000789,"Chavez, Bradley and Williams",2025-05-06,2025-05-02,133,181,GPO
36915-6203-49,OR000790,Little Ltd,2025-05-14,2025-05-13,189,470,GPO
80829-5376-93,OR000791,"Nicholson, Graham and Davis",2025-05-06,2025-05-14,128,161,WAC
80654-7964-89,OR000792,Bailey and Sons,2025-05-25,2025-05-20,438,340,340B
48460-9254-16,OR000793,"Shah, Collins and Ruiz",2025-05-12,2025-05-17,113,212,WAC
34363-8976-15,OR000794,Newman Inc,2025-05-03,2025-05-10,443,296,WAC
34303-4883-78,OR000795,Meyers Ltd,2025-05-23,2025-05-04,245,425,WAC
66559-2856-97,OR000796,Smith-Sanchez,2025-05-28,2025-05-26,227,448,GPO
97981-9753-58,OR000797,Torres Inc,2025-05-05,2025-05-18,379,144,340B
63335-5316-90,OR000798,Guzman and Sons,2025-05-02,2025-05-14,419,112,340B
78613-2121-58,OR000799,Singleton-Brown,2025-05-06,2025-05-27,122,210,GPO
27358-8137-97,OR000800,"Davidson, Irwin and Patton",2025-05-16,2025-05-05,390,293,GPO
64466-4027-31,OR000801,Pope Group,2025-05-19,2025-05-25,140,306,GPO
63673-4111-95,OR000802,Miller and Sons,2025-05-14,2025-05-20,146,247,GPO
60089-4229-70,OR000803,Johnson Group,2025-05-06,2025-05-02,342,120,GPO
89328-5616-94,OR000804,Stephenson Ltd,2025-05-05,2025-05-04,435,413,WAC
66559-2856-97,OR000805,Kennedy-Wilson,2025-05-09,2025-05-26,259,241,GPO
12890-9776-38,OR000806,Blair PLC,2025-05-11,2025-05-08,424,174,GPO
80345-6736-20,OR000807,Gonzales-Powers,2025-05-01,2025-05-23,344,435,WAC
73162-2439-31,OR000808,Dixon-Rogers,2025-05-09,2025-05-23,374,87,340B
99857-8207-88,OR000809,Glover LLC,2025-05-06,2025-05-19,184,406,GPO
40161-4951-98,OR000810,Monroe-Smith,2025-05-25,2025-05-16,425,166,GPO
73521-4609-17,OR000811,Harrell-Santiago,2025-05-17,2025-05-11,339,253,WAC
60089-4229-70,OR000812,Caldwell and Sons,2025-05-18,2025-05-20,428,427,WAC
21928-7748-50,OR000813,Gonzalez LLC,2025-05-03,2025-05-16,465,405,340B
46693-6681-95,OR000814,"Hunter, Charles and Fowler",2025-05-08,2025-05-11,342,338,GPO
94585-7194-28,OR000815,Payne Inc,2025-05-09,2025-05-14,428,431,WAC
26343-9665-81,OR000816,"Turner, Ramirez and Henry",2025-05-28,2025-05-18,261,326,WAC
86533-6291-42,OR000817,Myers LLC,2025-05-02,2025-05-26,220,201,WAC
94852-9945-59,OR000818,Atkinson PLC,2025-05-28,2025-05-17,101,88,340B
16541-9626-36,OR000819,"Romero, Stuart and Bennett",2025-05-21,2025-05-20,147,227,340B
14637-2276-75,OR000820,Robertson-Davis,2025-05-02,2025-05-26,101,181,WAC
85940-9746-96,OR000821,"Herrera, Mcdowell and Mata",2025-05-24,2025-05-19,147,117,340B
96978-3976-40,OR000822,"Francis, Shaw and Jones",2025-05-26,2025-05-15,414,87,GPO
98186-5175-38,OR000823,"Smith, Cherry and Cook",2025-05-18,2025-05-24,370,429,WAC
58995-2412-94,OR000824,Smith PLC,2025-05-12,2025-05-15,459,471,GPO
12034-5397-25,OR000825,"Miller, Gutierrez and Jenkins",2025-05-25,2025-05-19,248,441,340B
91915-2087-53,OR000826,Cox-Clark,2025-05-27,2025-05-21,183,152,WAC
47652-4226-51,OR000827,Kelley-Flores,2025-05-09,2025-05-05,395,152,340B
68410-3439-86,OR000828,"Garcia, Johnson and Roberts",2025-05-14,2025-05-09,469,483,GPO
41262-6150-98,OR000829,"Taylor, Ayers and Bowman",2025-05-15,2025-05-08,279,367,WAC
55108-6274-31,OR000830,"Price, Hawkins and Phillips",2025-05-04,2025-05-27,325,107,WAC
13645-7152-38,OR000831,Hendrix Ltd,2025-05-01,2025-05-16,390,347,GPO
69478-4639-84,OR000832,Owens-Anderson,2025-05-25,2025-05-04,494,451,340B
53379-6004-98,OR000833,"Hall, Ramos and Ryan",2025-05-08,2025-05-22,491,203,GPO
85575-7702-70,OR000834,Reyes PLC,2025-05-15,2025-05-07,216,275,WAC
12846-1701-99,OR000835,Morgan-Stanley,2025-05-23,2025-05-02,104,384,340B
69172-5094-19,OR000836,Davis-Jackson,2025-05-22,2025-05-20,268,492,GPO
19082-2372-95,OR000837,"Knapp, Banks and Clark",2025-05-20,2025-05-12,260,481,WAC
23713-4516-97,OR000838,Robles-Weber,2025-05-28,2025-05-24,352,131,GPO
84482-7202-14,OR000839,Nicholson Group,2025-05-21,2025-05-01,469,86,340B
39385-7723-49,OR000840,"Greene, Hall and Bryant",2025-05-17,2025-05-20,415,395,340B
58080-2853-70,OR000841,Mccoy-Graves,2025-05-03,2025-05-02,380,110,340B
63752-8405-88,OR000842,Mcfarland LLC,2025-05-17,2025-05-09,301,331,GPO
65193-7597-63,OR000843,Rasmussen-Jackson,2025-05-03,2025-05-16,398,111,WAC
83710-2812-95,OR000844,"Brooks, Lopez and Sims",2025-05-01,2025-05-24,107,157,340B
33186-6346-96,OR000845,Thomas-Thomas,2025-05-15,2025-05-11,302,103,340B
96764-7183-59,OR000846,Moore-Meyer,2025-05-03,2025-05-09,182,195,WAC
73289-9331-44,OR000847,Austin and Sons,2025-05-20,2025-05-24,102,431,GPO
36217-4424-81,OR000848,Melton-Berger,2025-05-18,2025-05-18,125,464,GPO
43176-3980-85,OR000849,"Scott, Gross and Short",2025-05-16,2025-05-06,100,107,340B
30763-2625-77,OR000850,"Thompson, Edwards and Elliott",2025-05-05,2025-05-02,315,264,WAC
51160-2130-78,OR000851,Fischer-Lee,2025-05-09,2025-05-23,467,179,340B
76400-7413-55,OR000852,"Weber, Roach and Rivas",2025-05-01,2025-05-22,375,194,340B
85015-7082-87,OR000853,Davila-Miller,2025-05-03,2025-05-16,114,214,340B
11572-3432-82,OR000854,"Wells, Rodriguez and Guerrero",2025-05-28,2025-05-07,485,100,GPO
36473-9049-88,OR000855,Martin-Barron,2025-05-10,2025-05-25,215,370,GPO
19626-4924-78,OR000856,Sims LLC,2025-05-05,2025-05-14,444,157,340B
66559-2856-97,OR000857,Reeves PLC,2025-05-20,2025-05-14,273,492,340B
90119-4863-39,OR000858,"Fields, Nguyen and Pierce",2025-05-09,2025-05-07,291,448,GPO
26343-9665-81,OR000859,Craig PLC,2025-05-23,2025-05-24,472,384,WAC
51803-1585-43,OR000860,Morrow-Thompson,2025-05-01,2025-05-18,489,284,WAC
69478-4639-84,OR000861,"Ward, Cox and Valentine",2025-05-01,2025-05-15,162,496,GPO
11730-1910-67,OR000862,Herring Group,2025-05-11,2025-05-10,373,410,WAC
37202-8299-35,OR000863,Mcdonald-Larsen,2025-05-15,2025-05-03,358,488,GPO
18486-6476-33,OR000864,"Smith, Miller and Mcbride",2025-05-21,2025-05-27,331,147,WAC
79180-8152-49,OR000865,"Curtis, Cisneros and Mosley",2025-05-02,2025-05-21,177,327,WAC
48976-6024-32,OR000866,"Lin, Hall and Ramos",2025-05-14,2025-05-01,184,97,340B
75250-3796-11,OR000867,Lopez-Stewart,2025-05-01,2025-05-20,220,155,340B
34334-3755-44,OR000868,Dunn-Arroyo,2025-05-23,2025-05-23,146,105,WAC
94585-7194-28,OR000869,"Herrera, York and Garcia",2025-05-27,2025-05-28,385,427,WAC
66876-9431-30,OR000870,Thomas-Donovan,2025-05-09,2025-05-25,178,152,340B
53321-6255-71,OR000871,"Martin, Baker and Riddle",2025-05-24,2025-05-19,125,279,340B
58050-8714-16,OR000872,Harris-Hunt,2025-05-16,2025-05-09,106,417,340B
13759-2236-43,OR000873,"Reynolds, Fritz and Odonnell",2025-05-27,2025-05-24,391,117,340B
96466-1897-26,OR000874,Perez-Martin,2025-05-11,2025-05-11,380,334,GPO
27358-8137-97,OR000875,Larsen-Barnes,2025-05-01,2025-05-03,466,300,WAC
44173-4190-92,OR000876,"Lewis, Harris and Perry",2025-05-06,2025-05-14,299,425,340B
99363-4572-86,OR000877,"Villanueva, Morse and Thompson",2025-05-21,2025-05-22,362,424,WAC
12890-9776-38,OR000878,"Mendoza, Gordon and Ramirez",2025-05-12,2025-05-27,464,105,340B
83719-1303-14,OR000879,Anderson LLC,2025-05-16,2025-05-13,277,298,WAC
58030-1892-29,OR000880,"Thomas, Rocha and Hopkins",2025-05-16,2025-05-07,425,369,WAC
47652-4226-51,OR000881,"Harrison, Parker and Hernandez",2025-05-15,2025-05-24,220,120,GPO
81572-2876-57,OR000882,Robinson LLC,2025-05-10,2025-05-11,391,388,WAC
22180-1129-36,OR000883,Levine-Mathews,2025-05-14,2025-05-09,442,498,WAC
25883-5152-27,OR000884,Baird-Davis,2025-05-15,2025-05-05,422,443,GPO
44853-3901-77,OR000885,Lucas PLC,2025-05-19,2025-05-14,477,262,340B
89075-3395-46,OR000886,Morrison-Valentine,2025-05-07,2025-05-11,461,264,WAC
12890-9776-38,OR000887,Moore-Gonzales,2025-05-18,2025-05-12,258,314,GPO
72096-7113-47,OR000888,Harrison Inc,2025-05-19,2025-05-14,485,378,340B
68410-3439-86,OR000889,Frank-Barnett,2025-05-10,2025-05-07,386,392,GPO
50620-7168-45,OR000890,Scott-Brown,2025-05-07,2025-05-07,105,197,340B
89396-3878-62,OR000891,Garrett-Rojas,2025-05-14,2025-05-26,483,109,340B
70087-9641-30,OR000892,Jackson-Cardenas,2025-05-09,2025-05-27,251,314,340B
80085-9578-85,OR000893,Clark-Valenzuela,2025-05-12,2025-05-02,233,291,340B
81649-8043-53,OR000894,Harper-Chambers,2025-05-28,2025-05-15,406,100,WAC
53828-8546-76,OR000895,Howard-Bates,2025-05-05,2025-05-08,143,124,340B
12890-9776-38,OR000896,Salazar-Johns,2025-05-20,2025-05-02,153,380,WAC
53321-6255-71,OR000897,Castro Ltd,2025-05-06,2025-05-06,248,156,340B
35990-7665-11,OR000898,Conway-Carr,2025-05-07,2025-05-24,365,335,WAC
83710-2812-95,OR000899,Weiss-Johnson,2025-05-12,2025-05-20,419,439,340B
53021-4531-95,OR000900,Stark-Patel,2025-05-16,2025-05-16,142,152,WAC
37202-8299-35,OR000901,"Ho, Duke and Wilkins",2025-05-28,2025-05-25,225,317,WAC
50012-1841-19,OR000902,"Thornton, Reynolds and Stephens",2025-05-13,2025-05-03,154,194,WAC
54922-1159-27,OR000903,"Flores, Hall and Pennington",2025-05-21,2025-05-03,178,302,WAC
31766-5594-14,OR000904,"Brown, Pitts and Gardner",2025-05-11,2025-05-09,391,337,GPO
53426-1256-84,OR000905,Bailey Group,2025-05-13,2025-05-10,323,494,340B
46408-6119-55,OR000906,Martinez and Sons,2025-05-20,2025-05-09,414,308,340B
91786-4267-65,OR000907,"Bailey, Fischer and Hughes",2025-05-04,2025-05-24,102,258,340B
18121-7982-38,OR000908,Maldonado LLC,2025-05-11,2025-05-21,281,363,WAC
76400-7413-55,OR000909,"Gardner, Brown and Mathews",2025-05-06,2025-05-27,204,189,GPO
68701-7547-40,OR000910,"Evans, Avery and Jackson",2025-05-13,2025-05-15,439,338,340B
80345-6736-20,OR000911,Cherry-Santiago,2025-05-15,2025-05-24,297,128,WAC
76067-5099-76,OR000912,"Anderson, White and Dillon",2025-05-21,2025-05-27,403,294,WAC
89328-5616-94,OR000913,Hammond Ltd,2025-05-27,2025-05-24,148,150,GPO
77316-8508-66,OR000914,Franco PLC,2025-05-21,2025-05-21,416,290,GPO
80829-5376-93,OR000915,Johnson-Hamilton,2025-05-20,2025-05-15,360,179,WAC
63335-5316-90,OR000916,Smith Group,2025-05-11,2025-05-07,409,165,WAC
41481-8294-59,OR000917,Haney-Robertson,2025-05-05,2025-05-15,373,209,GPO
51315-2610-79,OR000918,Jones and Sons,2025-05-02,2025-05-11,221,87,340B
51315-2610-79,OR000919,Miles-Benson,2025-05-25,2025-05-22,233,472,WAC
99268-6528-17,OR000920,Williams-Noble,2025-05-24,2025-05-01,484,184,GPO
19539-4717-45,OR000921,Perez Ltd,2025-05-02,2025-05-13,172,483,340B
18556-7178-41,OR000922,Robinson-Bauer,2025-05-28,2025-05-06,355,237,GPO
